Part 1a: top-5 most popular drop locations,,
DOLocationID,number_of_dropoffs,
61,5937,
138,5146,
239,4133,
244,4006,
42,3859,
Part 1b: top-5 most popular pickup locations,,
PULocationID,number_of_pickups,
74,17360,
75,13299,
244,9958,
41,9645,
82,9306,
Part 2: ttop-3 locations with the maximum overall activity,,
locationID,total_activity,
74,20292,
75,16326,
244,13964,
Part 3: all the boroughs in the order of having the highest to lowest number of activities,,
Borough,total_number_activities,
Brooklyn,198506,
Manhattan,175953,
Queens,157633,
Bronx,67707,
Unknown,1215,
Staten Island,888,
EWR,104,
Part 4: top 2 days of week with the largest number of (daily) average pickups - along with the values of average number of pickups on each of the two days,,
day_of_week,avg_count,
Friday,180.922764227642,
 Thursday,171.21359223301,
Part 5: For each particular hour of a day (0 to 23 - 0 being midnight) - in their order from 0 to 23. Find the zone in Brooklyn borough with the LARGEST number of pickups,,
hour_of_day,Zone,max_count
0,Fort Greene,7980
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
Part 6a: Which 3 different days of the January - in Manhattan - saw the largest percentage increment in pickups compared to previous day,,
day, percent_change,
22,51.062607696726,
2,28.3776144714528,
28,22.9395604395604,
Part 6b: Which 3 different days of the January - in Manhattan - saw the largest percentage decrement in pickups compared to previous day,,
day, percent_change,
20,-26.7477203647416,
19,-21.0760795065113,
12,-15.2471083070452,